Restoran Adı,Sipariş No,Restoran ID,Teslimat Tipi,Ödeme Yöntemi,Ödeme Yöntemi.1,Sipariş Durumu,Siparişin Alındığı Tarih,Kabul Edilme Zamanı,Tahmini Teslim Alınmaya Hazır Olma Süresi,Teslim Alınmaya Hazır Olma Süresi,Kuryenin Teslim Almaya Yakın Olma Zamanı,Sipariş Teslim Tarihi,Tahmini Teslimat Zamanı,Teslimat zamanı,İptal Edilme Zamanı,İptal Sebebi,İptal Kaynağı,Toplam,Paketleme ücreti,Minimum gönderim tutarı,Unnamed: 21,KDV Bedeli,Sipariş İletim Hizmeti Bedeli,Restoran İndirimi,Restoran Kuponu,Komisyon,Unnamed: 27,Unnamed: 28,Faturalandırılabilir,Ödeme Yapıldı,Tahmini Kazanç,İşletme tarafından tahsil edilmiş nakit tutar,Yemeksepeti'ne geri ödenecek tutar,Ödeme Tutarı,Yemeksepeti İndirimi,Yemeksepeti Tarafından Karşılanan Kupon,Toplam İndirim,Toplam Kupon,Vergi Tutarı,Ürünler
Arthur's Pizza,vz11-3vka,vz11,Yemeksepeti Teslimatlı,Kapıda Ödeme,YEMEKPAY_CARDPAYMENT,Teslim Edildi,29/11/2024 18:06,29/11/2024 18:07,29/11/2024 18:18,,29/11/2024 18:10,29/11/2024 18:27,29/11/2024 18:30,29/11/2024 18:37,,,,"340,00","0,00","0,00","0,00","22,55","20,40","0,00","100,00","34,00","0,00","58,33",evet,,"104,72","0,00","0,00","104,72","0,00","0,00","0,00","100,00","0,00",1 Verona
Arthur's Pizza,vz11-42gj,vz11,Yemeksepeti Teslimatlı,Online,YEMEKPAY_CREDITCARD,Teslim Edildi,28/11/2024 21:13,28/11/2024 21:13,28/11/2024 21:24,,28/11/2024 21:21,28/11/2024 21:34,28/11/2024 21:33,28/11/2024 21:42,,,,"340,00","0,00","0,00","0,00","22,55","20,40","0,00","100,00","34,00","0,00","58,33",evet,,"104,72","0,00","0,00","104,72","0,00","0,00","0,00","100,00","0,00",1 Verona
Arthur's Pizza,vz11-4akm,vz11,Yemeksepeti Teslimatlı,Kapıda Ödeme,,Teslim Edildi,23/11/2024 19:41,23/11/2024 19:42,23/11/2024 19:55,23/11/2024 19:57,23/11/2024 19:57,23/11/2024 19:58,23/11/2024 20:15,23/11/2024 20:02,,,,"680,00","0,00","0,00","0,00","34,82","65,28","136,00","0,00","108,80","0,00","0,00",evet,,"335,10","0,00","0,00","335,10","0,00","0,00","136,00","0,00","0,00","1 Roma, 1 Torino"
Arthur's Pizza,vz11-4r4c,vz11,Yemeksepeti Teslimatlı,Online,YEMEKPAY_CREDITCARD,Teslim Edildi,28/11/2024 21:11,28/11/2024 21:11,28/11/2024 21:24,,28/11/2024 21:21,28/11/2024 21:34,28/11/2024 21:33,28/11/2024 21:39,,,,"660,00","0,00","0,00","0,00","51,12","39,60","0,00","150,00","66,00","0,00","150,00",evet,,"203,28","0,00","0,00","203,28","0,00","0,00","0,00","150,00","0,00","1 Margherita, 1 Roma"
Arthur's Pizza,vz11-4udr,vz11,Yemeksepeti Teslimatlı,Online,YEMEKPAY_CREDITCARD,Teslim Edildi,30/11/2024 18:39,30/11/2024 18:39,30/11/2024 18:51,,30/11/2024 18:50,30/11/2024 18:53,30/11/2024 19:03,30/11/2024 18:59,,,,"340,00","0,00","0,00","0,00","22,55","20,40","0,00","100,00","34,00","0,00","58,33",evet,,"104,72","0,00","0,00","104,72","0,00","0,00","0,00","100,00","0,00",1 Roma
Arthur's Pizza,vz11-4wrh,vz11,Yemeksepeti Teslimatlı,Kapıda Ödeme,YEMEKPAY_CARDPAYMENT,Teslim Edildi,26/11/2024 18:23,26/11/2024 18:23,26/11/2024 18:38,,26/11/2024 18:33,26/11/2024 18:43,26/11/2024 18:45,26/11/2024 18:48,,,,"780,00","0,00","0,00","0,00","64,96","46,80","0,00","150,00","78,00","0,00","200,00",evet,,"240,24","0,00","0,00","240,24","0,00","0,00","0,00","150,00","0,00","1 Milano, 1 Coca-Cola Zero Sugar (25 cl.), 1 Roma, 1 Coca-Cola (25 cl.)"
Arthur's Pizza,vz11-51ck,vz11,Yemeksepeti Teslimatlı,Online,YEMEKPAY_CREDITCARD,Teslim Edildi,14/12/2024 20:13,14/12/2024 20:13,14/12/2024 20:27,,14/12/2024 20:24,14/12/2024 20:36,14/12/2024 20:41,14/12/2024 20:46,,,,"660,00","0,00","0,00","0,00","33,79","63,36","132,00","0,00","105,60","0,00","0,00",evet,,"325,25","0,00","0,00","325,25","0,00","0,00","132,00","0,00","0,00","1 Napolitan, 1 Milano"
Arthur's Pizza,vz11-5anw,vz11,Yemeksepeti Teslimatlı,Online,YEMEKPAY_CREDITCARD,Teslim Edildi,28/11/2024 14:22,28/11/2024 14:22,28/11/2024 14:33,,28/11/2024 14:27,28/11/2024 14:34,28/11/2024 14:48,28/11/2024 14:44,,,,"340,00","0,00","0,00","0,00","22,55","20,40","0,00","100,00","34,00","0,00","58,33",evet,,"104,72","0,00","0,00","104,72","0,00","0,00","0,00","100,00","0,00",1 Roma
Arthur's Pizza,vz11-5pdo,vz11,Yemeksepeti Teslimatlı,Online,YEMEKPAY_CREDITCARD,Teslim Edildi,22/11/2024 13:55,22/11/2024 13:55,22/11/2024 14:06,22/11/2024 14:09,22/11/2024 14:16,22/11/2024 14:16,22/11/2024 14:23,22/11/2024 14:35,,,,"320,00","0,00","0,00","0,00","16,38","30,72","64,00","0,00","51,20","0,00","0,00",evet,,"157,70","0,00","0,00","157,70","0,00","0,00","64,00","0,00","0,00",1 Margherita
Arthur's Pizza,vz11-6rsa,vz11,Yemeksepeti Teslimatlı,,,İptal Edildi,01/12/2024 17:11,01/12/2024 17:11,01/12/2024 17:23,01/12/2024 17:25,01/12/2024 17:20,01/12/2024 17:25,01/12/2024 17:36,01/12/2024 17:39,01/12/2024 18:02,Ürün kalitesi:Dökülme,İpt. Kaynağı:Lojistik,"340,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",hayır,,"0,00","0,00","0,00","0,00","0,00","0,00","68,00","0,00","0,00",1 Torino
Arthur's Pizza,vz11-8fpf,vz11,Yemeksepeti Teslimatlı,,,İptal Edildi,,,20/11/2024 23:19,,20/11/2024 23:12,,,,20/11/2024 23:18,Kapalı,Satıcı,"320,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",,,"0,00","0,00","0,00","0,00","0,00","0,00","100,00","0,00","0,00",1 Margherita
Arthur's Pizza,vz11-8iq2,vz11,Yemeksepeti Teslimatlı,Online,YEMEKPAY_CREDITCARD,Teslim Edildi,22/11/2024 19:05,22/11/2024 19:05,22/11/2024 19:17,,22/11/2024 19:07,22/11/2024 19:15,22/11/2024 19:30,22/11/2024 19:29,,,,"340,00","0,00","0,00","0,00","22,55","20,40","0,00","100,00","34,00","0,00","58,33",evet,,"104,72","0,00","0,00","104,72","0,00","0,00","0,00","100,00","0,00",1 Torino
Arthur's Pizza,vz11-8v14,vz11,Yemeksepeti Teslimatlı,Kapıda Ödeme,YEMEKPAY_CARDPAYMENT,Teslim Edildi,22/11/2024 18:37,22/11/2024 18:38,22/11/2024 18:49,,22/11/2024 18:55,22/11/2024 18:56,22/11/2024 18:59,22/11/2024 19:03,,,,"340,00","0,00","0,00","0,00","17,41","32,64","68,00","0,00","54,40","0,00","0,00",evet,,"167,55","0,00","0,00","167,55","0,00","0,00","68,00","0,00","0,00",1 Roma
Arthur's Pizza,vz11-8yfl,vz11,Yemeksepeti Teslimatlı,Online,YEMEKPAY_CREDITCARD,Teslim Edildi,29/11/2024 22:11,29/11/2024 22:11,29/11/2024 22:22,,29/11/2024 22:32,29/11/2024 22:33,29/11/2024 22:43,29/11/2024 22:42,,,,"340,00","0,00","0,00","0,00","22,55","20,40","0,00","100,00","34,00","0,00","58,33",evet,,"104,72","0,00","0,00","104,72","0,00","0,00","0,00","100,00","0,00",1 Milano
Arthur's Pizza,vz11-98kf,vz11,Yemeksepeti Teslimatlı,Online,YEMEKPAY_CREDITCARD,Teslim Edildi,24/11/2024 17:55,24/11/2024 17:55,24/11/2024 18:09,,24/11/2024 18:04,24/11/2024 18:13,24/11/2024 18:27,24/11/2024 18:32,,,,"680,00","0,00","0,00","0,00","53,43","40,80","0,00","150,00","68,00","0,00","158,33",evet,,"209,44","0,00","0,00","209,44","0,00","0,00","0,00","150,00","0,00","1 Milano, 1 Torino"
Arthur's Pizza,vz11-9c38,vz11,Yemeksepeti Teslimatlı,Online,YEMEKPAY_CREDITCARD,Teslim Edildi,13/12/2024 19:53,13/12/2024 19:53,13/12/2024 20:05,13/12/2024 20:10,13/12/2024 20:09,13/12/2024 20:12,13/12/2024 20:19,13/12/2024 20:19,,,,"340,00","0,00","0,00","0,00","22,55","20,40","0,00","100,00","34,00","0,00","58,33",evet,,"104,72","0,00","0,00","104,72","0,00","0,00","0,00","100,00","0,00",1 Milano
Arthur's Pizza,vz11-9e8f,vz11,Yemeksepeti Teslimatlı,Kapıda Ödeme,,Teslim Edildi,24/11/2024 20:23,24/11/2024 20:23,24/11/2024 20:35,,24/11/2024 20:35,24/11/2024 20:38,24/11/2024 20:43,24/11/2024 20:47,,,,"340,00","0,00","0,00","0,00","22,55","20,40","0,00","100,00","34,00","0,00","58,33",evet,,"104,72","0,00","0,00","104,72","0,00","0,00","0,00","100,00","0,00",1 Milano
Arthur's Pizza,vz11-adr1,vz11,Yemeksepeti Teslimatlı,Online,YEMEKPAY_CREDITCARD,Teslim Edildi,24/11/2024 19:14,24/11/2024 19:15,24/11/2024 19:29,24/11/2024 19:37,24/11/2024 19:45,24/11/2024 19:46,24/11/2024 19:50,24/11/2024 20:05,,,,"760,00","0,00","0,00","0,00","62,65","45,60","0,00","150,00","76,00","0,00","191,67",evet,,"234,08","0,00","0,00","234,08","0,00","0,00","0,00","150,00","0,00","1 Margherita, 1 Verona, 1 Lipton Ice Tea Şeftali (25 cl.), 1 Coca-Cola Zero Sugar (25 cl.)"
Arthur's Pizza,vz11-b33s,vz11,Yemeksepeti Teslimatlı,Kapıda Ödeme,,Teslim Edildi,28/11/2024 18:38,28/11/2024 18:38,28/11/2024 18:50,,28/11/2024 18:45,28/11/2024 18:51,28/11/2024 19:07,28/11/2024 19:06,,,,"340,00","0,00","0,00","0,00","22,55","20,40","0,00","100,00","34,00","0,00","58,33",evet,,"104,72","0,00","0,00","104,72","0,00","0,00","0,00","100,00","0,00",1 Milano
Arthur's Pizza,vz11-b9jo,vz11,Yemeksepeti Teslimatlı,Kapıda Ödeme,YEMEKPAY_CARDPAYMENT,Teslim Edildi,29/11/2024 22:21,29/11/2024 22:22,29/11/2024 22:33,,29/11/2024 22:34,29/11/2024 22:37,29/11/2024 22:49,29/11/2024 22:50,,,,"340,00","0,00","0,00","0,00","22,55","20,40","0,00","100,00","34,00","0,00","58,33",evet,,"104,72","0,00","0,00","104,72","0,00","0,00","0,00","100,00","0,00",1 Roma
Arthur's Pizza,vz11-bc01,vz11,Yemeksepeti Teslimatlı,Kapıda Ödeme,,Teslim Edildi,23/11/2024 20:44,23/11/2024 20:44,23/11/2024 20:56,,23/11/2024 20:47,23/11/2024 20:56,23/11/2024 21:11,23/11/2024 21:05,,,,"340,00","0,00","0,00","0,00","22,55","20,40","0,00","100,00","34,00","0,00","58,33",evet,,"104,72","0,00","0,00","104,72","0,00","0,00","0,00","100,00","0,00",1 Roma
Arthur's Pizza,vz11-bu9u,vz11,Yemeksepeti Teslimatlı,Online,YEMEKPAY_CREDITCARD,Teslim Edildi,29/11/2024 19:23,29/11/2024 19:24,29/11/2024 19:35,29/11/2024 19:36,29/11/2024 19:47,29/11/2024 19:50,29/11/2024 19:45,29/11/2024 19:58,,,,"340,00","0,00","0,00","0,00","22,55","20,40","0,00","100,00","34,00","0,00","58,33",evet,,"104,72","0,00","0,00","104,72","0,00","0,00","0,00","100,00","0,00",1 Verona
Arthur's Pizza,vz11-c0nd,vz11,Yemeksepeti Teslimatlı,Online,YEMEKPAY_CREDITCARD,Teslim Edildi,21/11/2024 19:12,21/11/2024 19:12,21/11/2024 19:26,21/11/2024 19:38,21/11/2024 19:41,21/11/2024 19:42,21/11/2024 19:51,21/11/2024 19:48,,,,"680,00","0,00","0,00","0,00","53,43","40,80","0,00","150,00","68,00","0,00","158,33",evet,,"209,44","0,00","0,00","209,44","0,00","0,00","0,00","150,00","0,00","1 Verona, 1 Torino"
Arthur's Pizza,vz11-c4pg,vz11,Yemeksepeti Teslimatlı,Kapıda Ödeme,YEMEKPAY_CARDPAYMENT,Teslim Edildi,13/12/2024 16:03,13/12/2024 16:03,13/12/2024 16:15,,13/12/2024 16:16,13/12/2024 16:18,13/12/2024 16:32,13/12/2024 16:35,,,,"340,00","0,00","0,00","0,00","17,41","32,64","68,00","0,00","54,40","0,00","0,00",evet,,"167,55","0,00","0,00","167,55","0,00","0,00","68,00","0,00","0,00",1 Torino
Arthur's Pizza,vz11-cptb,vz11,Yemeksepeti Teslimatlı,Online,YEMEKPAY_CREDITCARD,Teslim Edildi,24/11/2024 18:52,24/11/2024 18:52,24/11/2024 19:04,24/11/2024 19:02,24/11/2024 19:09,24/11/2024 19:10,24/11/2024 19:23,24/11/2024 19:17,,,,"340,00","0,00","0,00","0,00","22,55","20,40","0,00","100,00","34,00","0,00","58,33",evet,,"104,72","0,00","0,00","104,72","0,00","0,00","0,00","100,00","0,00",1 Torino
Arthur's Pizza,vz11-cvzh,vz11,Yemeksepeti Teslimatlı,Online,YEMEKPAY_CREDITCARD,Teslim Edildi,20/11/2024 18:56,20/11/2024 18:57,20/11/2024 19:07,,20/11/2024 19:07,20/11/2024 19:13,20/11/2024 19:24,20/11/2024 19:34,,,,"340,00","0,00","0,00","0,00","22,55","20,40","0,00","100,00","34,00","0,00","58,33",evet,,"104,72","0,00","0,00","104,72","0,00","0,00","0,00","100,00","0,00",1 Roma
Arthur's Pizza,vz11-d61p,vz11,Yemeksepeti Teslimatlı,Online,YEMEKPAY_CREDITCARD,Teslim Edildi,14/12/2024 16:57,14/12/2024 16:57,14/12/2024 17:11,,14/12/2024 17:07,14/12/2024 17:15,14/12/2024 17:22,14/12/2024 17:25,,,,"680,00","0,00","0,00","0,00","53,43","40,80","0,00","150,00","68,00","0,00","158,33",evet,,"209,44","0,00","0,00","209,44","0,00","0,00","0,00","150,00","0,00","1 Roma, 1 Torino"
Arthur's Pizza,vz11-etlq,vz11,Yemeksepeti Teslimatlı,Online,YEMEKPAY_CREDITCARD,Teslim Edildi,22/11/2024 19:09,22/11/2024 19:09,22/11/2024 19:25,22/11/2024 19:38,22/11/2024 19:52,22/11/2024 19:54,22/11/2024 19:39,22/11/2024 20:10,,,,"1.000,00","0,00","0,00","0,00","51,20","96,00","200,00","0,00","160,00","0,00","0,00",evet,,"492,80","0,00","0,00","492,80","0,00","0,00","200,00","0,00","0,00","1 Margherita, 1 Roma, 1 Torino"
Arthur's Pizza,vz11-eur7,vz11,Yemeksepeti Teslimatlı,Kapıda Ödeme,YEMEKPAY_CARDPAYMENT,Teslim Edildi,19/11/2024 15:00,19/11/2024 15:00,19/11/2024 15:14,,19/11/2024 15:14,19/11/2024 15:21,19/11/2024 15:28,19/11/2024 15:40,,,,"710,00","0,00","0,00","0,00","36,35","68,16","142,00","0,00","113,60","0,00","0,00",evet,,"349,89","0,00","0,00","349,89","0,00","0,00","142,00","0,00","0,00","1 Milano, 1 Napolitan, 1 Coca-Cola (25 cl.)"
Arthur's Pizza,vz11-eyua,vz11,Yemeksepeti Teslimatlı,Online,YEMEKPAY_CREDITCARD,Teslim Edildi,07/12/2024 18:01,07/12/2024 18:01,07/12/2024 18:13,,07/12/2024 18:17,07/12/2024 18:18,07/12/2024 18:28,07/12/2024 18:26,,,,"340,00","0,00","0,00","0,00","22,55","20,40","0,00","100,00","34,00","0,00","58,33",evet,,"104,72","0,00","0,00","104,72","0,00","0,00","0,00","100,00","0,00",1 Milano
Arthur's Pizza,vz11-fg6e,vz11,Yemeksepeti Teslimatlı,Kapıda Ödeme,,Teslim Edildi,13/12/2024 21:50,13/12/2024 21:50,13/12/2024 22:02,,13/12/2024 21:58,13/12/2024 22:07,13/12/2024 22:13,13/12/2024 22:17,,,,"370,00","0,00","0,00","0,00","26,01","22,20","0,00","100,00","37,00","0,00","70,83",evet,,"113,96","0,00","0,00","113,96","0,00","0,00","0,00","100,00","0,00","1 Margherita, 1 Coca-Cola (25 cl.)"
Arthur's Pizza,vz11-flh2,vz11,Yemeksepeti Teslimatlı,Online,YEMEKPAY_CREDITCARD,Teslim Edildi,04/12/2024 20:36,04/12/2024 20:36,04/12/2024 20:48,,04/12/2024 20:43,04/12/2024 20:53,04/12/2024 21:06,04/12/2024 21:08,,,,"340,00","0,00","0,00","0,00","17,41","32,64","68,00","0,00","54,40","0,00","0,00",evet,,"167,55","0,00","0,00","167,55","0,00","0,00","68,00","0,00","0,00",1 Roma
Arthur's Pizza,vz11-fwne,vz11,Yemeksepeti Teslimatlı,Kapıda Ödeme,,Teslim Edildi,28/11/2024 16:43,28/11/2024 16:43,28/11/2024 16:54,,28/11/2024 16:47,28/11/2024 16:55,28/11/2024 17:07,28/11/2024 17:09,,,,"340,00","0,00","0,00","0,00","17,41","32,64","68,00","0,00","54,40","0,00","0,00",evet,,"167,55","0,00","0,00","167,55","0,00","0,00","68,00","0,00","0,00",1 Torino
Arthur's Pizza,vz11-gowo,vz11,Yemeksepeti Teslimatlı,Online,YEMEKPAY_CREDITCARD,Teslim Edildi,29/11/2024 20:02,29/11/2024 20:03,29/11/2024 20:14,,29/11/2024 20:12,29/11/2024 20:16,29/11/2024 20:34,29/11/2024 20:27,,,,"340,00","0,00","0,00","0,00","22,55","20,40","0,00","100,00","34,00","0,00","58,33",evet,,"104,72","0,00","0,00","104,72","0,00","0,00","0,00","100,00","0,00",1 Milano
Arthur's Pizza,vz11-iirx,vz11,Yemeksepeti Teslimatlı,Online,YEMEKPAY_CREDITCARD,Teslim Edildi,20/11/2024 22:19,20/11/2024 22:19,20/11/2024 22:31,,20/11/2024 22:28,20/11/2024 22:32,20/11/2024 22:37,20/11/2024 22:41,,,,"320,00","0,00","0,00","0,00","16,38","30,72","64,00","0,00","51,20","0,00","0,00",evet,,"157,70","0,00","0,00","157,70","0,00","0,00","64,00","0,00","0,00",1 Napolitan
Arthur's Pizza,vz11-ijlm,vz11,Yemeksepeti Teslimatlı,Online,YEMEKPAY_CREDITCARD,Teslim Edildi,26/11/2024 19:22,26/11/2024 19:22,26/11/2024 19:35,26/11/2024 19:31,26/11/2024 19:31,26/11/2024 19:33,26/11/2024 19:43,26/11/2024 19:45,,,,"460,00","0,00","0,00","0,00","28,05","27,60","0,00","150,00","46,00","0,00","66,67",evet,,"141,68","0,00","0,00","141,68","0,00","0,00","0,00","150,00","0,00","1 Milano, 1 Coca-Cola (25 cl.), 1 Sprite (25 cl.), 1 Su (50 cl.)"
Arthur's Pizza,vz11-j1cr,vz11,Yemeksepeti Teslimatlı,Online,YEMEKPAY_CREDITCARD,Teslim Edildi,14/12/2024 20:12,14/12/2024 20:12,14/12/2024 20:24,,14/12/2024 20:16,14/12/2024 20:25,14/12/2024 20:38,14/12/2024 20:39,,,,"340,00","0,00","0,00","0,00","22,55","20,40","0,00","100,00","34,00","0,00","58,33",evet,,"104,72","0,00","0,00","104,72","0,00","0,00","0,00","100,00","0,00",1 Roma
Arthur's Pizza,vz11-jkbn,vz11,Yemeksepeti Teslimatlı,Online,YEMEKPAY_CREDITCARD,Teslim Edildi,28/11/2024 17:44,28/11/2024 17:44,28/11/2024 17:55,,28/11/2024 17:52,28/11/2024 17:56,28/11/2024 18:08,28/11/2024 18:08,,,,"320,00","0,00","0,00","0,00","16,38","30,72","64,00","0,00","51,20","0,00","0,00",evet,,"157,70","0,00","0,00","157,70","0,00","0,00","64,00","0,00","0,00",1 Margherita
Arthur's Pizza,vz11-k020,vz11,Yemeksepeti Teslimatlı,Kapıda Ödeme,,İptal Edildi,13/12/2024 20:33,13/12/2024 20:33,13/12/2024 20:45,13/12/2024 20:47,13/12/2024 21:16,13/12/2024 21:18,13/12/2024 20:58,13/12/2024 21:31,14/12/2024 00:08,Hasarlı ürün,Satıcı,"340,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","68,00","0,00","0,00",hayır,,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",1 Roma
Arthur's Pizza,vz11-k174,vz11,Yemeksepeti Teslimatlı,Online,YEMEKPAY_CREDITCARD,Teslim Edildi,08/12/2024 19:15,08/12/2024 19:15,08/12/2024 19:27,08/12/2024 19:38,08/12/2024 19:51,08/12/2024 19:52,08/12/2024 19:45,08/12/2024 20:10,,,,"320,00","0,00","0,00","0,00","20,24","19,20","0,00","100,00","32,00","0,00","50,00",evet,,"98,56","0,00","0,00","98,56","0,00","0,00","0,00","100,00","0,00",1 Napolitan
Arthur's Pizza,vz11-m28f,vz11,Yemeksepeti Teslimatlı,Online,YEMEKPAY_CREDITCARD,Teslim Edildi,28/11/2024 19:35,28/11/2024 19:35,28/11/2024 19:47,,28/11/2024 19:48,28/11/2024 19:49,28/11/2024 19:54,28/11/2024 19:54,,,,"340,00","0,00","0,00","0,00","17,41","32,64","68,00","0,00","54,40","0,00","0,00",evet,,"167,55","0,00","0,00","167,55","0,00","0,00","68,00","0,00","0,00",1 Roma
